Symbol,Qty,AvgPrice,CMP,PnL
NETWEB,58,4128.47,3255.0,-50661.26
SMLISUZU,60,4372.63,2874.1,-89911.80
FORCEMOT,5,18073.2,17489.0,-2921.00
